brand,n_phish,official_domain,n_legit_on_that_domain,pairs
microsoft,1109,microsoft.com,9,9
facebook,406,facebook.com,2,2
genericemail,259,,0,0
paypal,241,paypal.com,15,15
att,226,att.com,3,3
dhl,147,dhl.com,0,0
usps,142,usps.com,1,1
amazon,140,amazon.com,6,6
steam,131,steampowered.com,2,2
metamask,131,metamask.io,1,1
banquepostale,83,labanquepostale.fr,0,0
adobe,75,adobe.com,5,5
bancolombia,73,bancolombia.com,1,1
creditagricole,73,credit-agricole.fr,0,0
genericcrypto,72,,0,0
whatsapp,70,whatsapp.com,2,2
bt,68,bt.com,1,1
1and1ionos,67,ionos.com,0,0
govau,64,gov.au,4,4
coinbase,59,coinbase.com,2,2
citibank,54,citi.com,3,3
postbank,52,postbank.de,2,2
yahoo,50,yahoo.com,55,50
aol,48,aol.com,4,4
auid,47,auone.jp,1,1
bimcell,46,com.tr,6,6
instagram,45,instagram.com,2,2
aruba,44,arubacloud.com,0,0
orange,44,orange.fr,1,1
nfcu,43,navyfederal.org,2,2
mtbank,41,mtb.com,1,1
dkb,41,dkb.de,0,0
discord,39,discord.com,0,0
rakuten,36,co.jp,24,24
ups,33,ups.com,3,3
posteitaliane,33,poste.it,2,2
netflix,32,netflix.com,3,3
biglobe,32,ne.jp,3,3
garanti,32,com.tr,6,6
onedrive,31,live.com,3,3
wellsfargo,31,wellsfargo.com,0,0
linkedin,31,linkedin.com,1,1
sbbch,30,sbb.ch,0,0
apple,29,apple.com,0,0
anzbank,29,com.au,42,29
yamatotransport,28,co.jp,24,24
bantrab,27,com.gt,1,1
sbi,26,onlinesbi.sbi,0,0
swisspost,24,post.ch,0,0
bperbanca,24,bper.it,0,0
bankofamerica,23,bankofamerica.com,2,2
santander,22,santander.com,1,1
google,21,google.com,15,15
sparkasse,21,sparkasse.de,1,1
hipercard,20,com.br,76,20
opensea,20,opensea.io,0,0
xfinity,20,xfinity.com,4,4
trustwallet,20,trustwallet.com,0,0
bancaintesasanpaolo,19,intesasanpaolo.com,2,2
madeinchina,19,made-in-china.com,0,0
citizensbank,18,citizensbank.com,0,0
sfrfr,17,sfr.fr,2,2
commonwealthbank,17,com.au,42,17
bancoitau,16,com.br,76,16
excelpdfdownload,14,,0,0
denizbank,13,denizbank.com,0,0
impotsgouv,13,gouv.fr,2,2
telekom,12,telekom.com,1,1
banreservas,11,banreservas.com,0,0
hdfcbank,11,hdfcbank.com,1,1
chase,10,chase.com,0,0
bdobank,10,com.ph,0,0
unionbankph,9,unionbankph.com,0,0
smbc,9,co.jp,24,9
square,9,squareup.com,1,1
ebay,8,ebay.com,10,8
office365,8,office.com,2,2
bancoindustrial,8,corporacionbi.com,0,0
leboncoin,6,leboncoin.fr,0,0
uniswap,6,uniswap.org,0,0
absa,6,co.za,20,6
generic,5,,0,0
docusign,3,docusign.com,1,1
sharepoint,2,,0,0
dbsbank,1,dbs.com,0,0
chainlink,1,chain.link,0,0
